"tier";"championName";"championId";"teamPosition";"match_cnt";"win_cnt";"ban_cnt";"pick_cnt";"win_rate";"ban_rate";"pick_rate";"av_kda";"most_priperk1";"most_priperk2";"most_priperk3";"most_priperk4";"most_pristyle";"most_subperk1";"most_subperk2";"most_substyle";"abil_def";"abil_fle";"abil_off";"spell1_1";"spell1_2";"spell1_cnt";"spell1_rate";"spell1_win";"spell2_1";"spell2_2";"spell2_cnt";"spell2_rate";"spell2_win";"skill_build1";"skill_build2";"skill_build3";"skill_cnt";"skill_rate";"skill_win";"item_set1_1";"item_set1_2";"item_set1_3";"item_set1_4";"item_set1_5";"item_set1_6";"item_set1_7";"item_set1_8";"item_set1_cnt";"item_set1_rate";"item_set1_win";"item_set2_1";"item_set2_2";"item_set2_3";"item_set2_4";"item_set2_5";"item_set2_6";"item_set2_7";"item_set2_8";"item_set2_cnt";"item_set2_rate";"item_set2_win";"shoes1";"shoes1_cnt";"shoes1_rate";"shoes1_win";"shoes2";"shoes2_cnt";"shoes2_rate";"shoes2_win";"core1_1";"core1_2";"core1_3";"core1_4";"core1_5";"core1_6";"core1_cnt";"core1_rate";"core1_win";"core2_1";"core2_2";"core2_3";"core2_4";"core2_5";"core2_6";"core2_cnt";"core2_rate";"core2_win";"core3_1";"core3_2";"core3_3";"core3_4";"core3_5";"core3_6";"core3_cnt";"core3_rate";"core3_win"
"";"Zoe";"";"";5425;189;0;339;0.5575;0.0;0.0625;4.27;"8128";"8139";"8138";"8135";"8100";"8014";"8009";"8000";"5002";"5008";"5008";"32";"4";201;0.59;0.52;"14";"4";"35";"0.1";"0.6";"1";"3";"2";230;0.68;0.53;"3802";"1001";"";"";"";"";"";"";256;0.76;0.55;"3802";"2031";"";"";"";"";"";"";19;0.06;0.53;"3020";314;0.93;0.55;"3158";5;0.01;0.6;"6655";"4645";"";"";"";"";"37";0.11;0.62;"6655";"4645";"3089";"";"";"";"31";0.09;0.55;"6655";"4645";"4628";"";"";"";"16";0.05;0.31
"";"Chogath";"";"";5425;198;0;393;0.5038;0.0;0.0724;3.47;"8437";"8446";"8429";"8451";"8400";"8009";"9105";"8000";"5002";"5008";"5005";"32";"4";351;0.89;0.5;"4";"6";"7";"0.02";"0.57";"1";"2";"3";250;0.64;0.52;"3801";"1028";"2031";"";"";"";"";"";108;0.27;0.44;"2051";"3070";"2003";"";"";"";"";"";33;0.08;0.55;"3111";218;0.55;0.53;"3047";108;0.27;0.43;"3084";"3083";"";"";"";"";"22";0.06;0.45;"6665";"3083";"";"";"";"";"13";0.03;0.62;"3084";"3083";"3068";"";"";"";"12";0.03;0.5
"";"Nasus";"";"";5425;91;0;185;0.4919;0.0;0.0341;3.36;"8128";"8139";"8138";"8135";"8100";"8009";"8014";"8000";"5002";"5008";"5008";"32";"4";107;0.58;0.49;"4";"6";"10";"0.05";"0.1";"3";"1";"2";42;0.23;0.6;"3802";"1001";"";"";"";"";"";"";57;0.31;0.44;"3057";"1036";"1001";"2003";"";"";"";"";30;0.16;0.43;"3111";81;0.44;0.43;"3020";36;0.19;0.44;"6632";"3110";"3065";"";"";"";"13";0.07;0.54;"6653";"4637";"3116";"";"";"";"9";0.05;0.67;"6632";"3110";"";"";"";"";"8";0.04;0.38
"";"Nilah";"";"";5425;77;0;157;0.4904;0.0;0.0289;2.9;"8010";"9111";"9103";"8014";"8000";"8139";"8135";"8100";"5002";"5008";"5005";"32";"4";105;0.67;0.52;"4";"6";"5";"0.03";"0.2";"1";"3";"2";103;0.66;0.54;"3134";"1001";"";"";"";"";"";"";78;0.5;0.44;"3077";"2031";"";"";"";"";"";"";15;0.1;0.73;"3006";73;0.46;0.45;"3111";48;0.31;0.48;"6676";"6675";"";"";"";"";"10";0.06;0.3;"6676";"6675";"6673";"";"";"";"8";0.05;0.25;"6676";"6675";"6673";"3072";"";"";"6";0.04;0.5
"";"Rell";"";"";5425;43;0;88;0.4886;0.0;0.0162;4.06;"8439";"8463";"8429";"8451";"8400";"9105";"9111";"8000";"5003";"5002";"5007";"32";"4";82;0.93;0.51;"3";"4";"2";"0.02";"0";"2";"3";"1";39;0.44;0.56;"3105";"2031";"";"";"";"";"";"";25;0.28;0.64;"2051";"3070";"2003";"";"";"";"";"";15;0.17;0.47;"3111";45;0.51;0.42;"3047";32;0.36;0.56;"6665";"3068";"";"";"";"";"6";0.07;0.67;"6665";"";"";"";"";"";"5";0.06;0.0;"6665";"3068";"4401";"";"";"";"4";0.05;0.25
"";"Malphite";"";"";5425;330;0;623;0.5297;0.0;0.1148;3.07;"8128";"8143";"8138";"8106";"8100";"8210";"8236";"8200";"5002";"5008";"5008";"32";"4";562;0.9;0.54;"14";"4";"14";"0.02";"0.57";"1";"3";"2";373;0.6;0.53;"3145";"1001";"2003";"";"";"";"";"";194;0.31;0.53;"3802";"1001";"";"";"";"";"";"";93;0.15;0.43;"3020";394;0.63;0.54;"3111";78;0.13;0.53;"4636";"4645";"";"";"";"";"42";0.07;0.57;"4636";"4645";"3089";"";"";"";"40";0.06;0.68;"6655";"4645";"";"";"";"";"26";0.04;0.27
"";"LeeSin";"";"";5425;256;0;527;0.4858;0.0;0.0971;3.61;"8010";"9111";"9104";"8014";"8000";"8139";"8135";"8100";"5002";"5008";"5005";"32";"4";505;0.96;0.48;"4";"6";"1";"0";"1";"1";"3";"2";254;0.48;0.54;"3134";"1001";"";"";"";"";"";"";191;0.36;0.47;"6029";"1001";"";"";"";"";"";"";139;0.26;0.49;"3111";286;0.54;0.48;"3047";104;0.2;0.52;"6630";"3071";"6333";"";"";"";"25";0.05;0.32;"6691";"6676";"6696";"";"";"";"21";0.04;0.43;"6630";"3071";"";"";"";"";"19";0.04;0.42
"";"Diana";"";"";5425;111;0;237;0.4684;0.0;0.0437;3.01;"8128";"8143";"8138";"8106";"8100";"8014";"8009";"8000";"5002";"5008";"5008";"32";"4";233;0.98;0.47;"13";"4";"1";"0";"0";"1";"2";"3";130;0.55;0.5;"3145";"1001";"2003";"";"";"";"";"";106;0.45;0.51;"3145";"1001";"";"";"";"";"";"";30;0.13;0.4;"3020";169;0.71;0.51;"3111";41;0.17;0.29;"4636";"4645";"";"";"";"";"15";0.06;0.4;"3152";"3157";"";"";"";"";"10";0.04;0.4;"4636";"4645";"3157";"";"";"";"10";0.04;0.5
"";"Ziggs";"";"";5425;176;0;316;0.557;0.0;0.0582;4.64;"8128";"8126";"8138";"8106";"8100";"8014";"8009";"8000";"5002";"5008";"5008";"13";"4";155;0.49;0.54;"3";"4";"35";"0.11";"0.6";"1";"3";"2";201;0.64;0.56;"3802";"1001";"";"";"";"";"";"";215;0.68;0.59;"3802";"";"";"";"";"";"";"";15;0.05;0.67;"3020";252;0.8;0.55;"3158";39;0.12;0.59;"6653";"4637";"";"";"";"";"19";0.06;0.68;"6653";"4637";"3089";"";"";"";"14";0.04;0.64;"6653";"4637";"3135";"";"";"";"11";0.03;0.45
"";"Cassiopeia";"";"";5425;115;0;232;0.4957;0.0;0.0428;3.81;"8010";"8009";"9105";"8014";"8000";"8135";"8139";"8100";"5002";"5008";"5008";"4";"6";183;0.79;0.53;"32";"4";"16";"0.07";"0.38";"3";"1";"2";152;0.66;0.59;"1026";"3070";"2031";"";"";"";"";"";57;0.25;0.47;"3803";"2003";"2003";"";"";"";"";"";18;0.08;0.44;"";0;0.0;0.0;"";0;0.0;0.0;"6657";"3003";"3116";"";"";"";"13";0.06;0.69;"6657";"3003";"3116";"4629";"";"";"12";0.05;0.67;"6657";"3003";"3116";"4637";"";"";"10";0.04;0.7
"";"Ryze";"";"";5425;197;0;354;0.5565;0.0;0.0653;4.1;"8230";"8226";"8210";"8236";"8200";"8135";"8139";"8100";"5002";"5008";"5008";"4";"6";291;0.82;0.57;"32";"4";"31";"0.09";"0.52";"1";"3";"2";256;0.72;0.6;"1026";"3070";"2031";"";"";"";"";"";107;0.3;0.5;"3803";"2003";"2003";"";"";"";"";"";36;0.1;0.58;"3020";218;0.62;0.56;"3111";57;0.16;0.51;"6657";"3003";"";"";"";"";"36";0.1;0.44;"6657";"3003";"4629";"";"";"";"35";0.1;0.54;"6657";"3003";"3110";"";"";"";"18";0.05;0.5
"";"Ahri";"";"";5425;302;0;575;0.5252;0.0;0.106;4.02;"8128";"8126";"8138";"8106";"8100";"8014";"8009";"8000";"5002";"5008";"5008";"32";"4";390;0.68;0.53;"4";"6";"17";"0.03";"0.65";"1";"2";"3";325;0.57;0.56;"3802";"1001";"";"";"";"";"";"";454;0.79;0.54;"3802";"";"";"";"";"";"";"";23;0.04;0.43;"3020";487;0.85;0.53;"3158";46;0.08;0.48;"6655";"4645";"";"";"";"";"53";0.09;0.51;"6655";"4645";"3089";"";"";"";"35";0.06;0.63;"6655";"4645";"3157";"";"";"";"27";0.05;0.63
"";"Yuumi";"";"";5425;174;0;346;0.5029;0.0;0.0638;11.23;"8214";"8226";"8210";"8237";"8200";"8009";"8017";"8000";"5002";"5008";"5008";"13";"3";172;0.5;0.49;"14";"3";"41";"0.12";"0.51";"1";"3";"2";149;0.43;0.5;"3802";"1004";"";"";"";"";"";"";128;0.37;0.48;"3802";"";"";"";"";"";"";"";53;0.15;0.58;"3158";19;0.05;0.47;"3020";12;0.03;0.25;"6655";"4628";"";"";"";"";"21";0.06;0.57;"6655";"";"";"";"";"";"17";0.05;0.76;"6655";"4628";"3089";"";"";"";"16";0.05;0.69
"";"Jhin";"";"";5425;389;0;730;0.5329;0.0;0.1346;5.18;"8128";"8139";"8138";"8135";"8100";"9103";"8009";"8000";"5002";"5008";"5008";"4";"6";566;0.78;0.54;"4";"7";"12";"0.02";"0.42";"1";"2";"3";478;0.65;0.58;"3134";"1001";"";"";"";"";"";"";267;0.37;0.55;"6670";"2003";"2003";"";"";"";"";"";116;0.16;0.61;"3009";534;0.73;0.55;"3006";55;0.08;0.31;"6691";"6696";"6676";"";"";"";"30";0.04;0.6;"3095";"6671";"3094";"";"";"";"20";0.03;0.4;"6691";"6696";"";"";"";"";"15";0.02;0.33
